SELLER_ID,TOTAL_LIVESENDS,TOTAL_CLIENT_OPENS,SELLER_GROUP,SELLER_SUBGROUP
4d2028d9-99b6-4b03-9df3-6a49383e812d,1,1,SYS,Core Hardware
69bd0b03-37c6-4054-a12a-2255387d78b1,1,1,SYS,Core Hardware
837c7b01-be60-41bc-ab2d-bae65784f0a9,1,0,GLMKT,Digital Sales
3de64cfa-5518-42de-9a28-370418f6b3da,2,1,Cld&DataPltfrm,CloudIntSW
7e59da5a-335b-4b2c-ab1a-0651a4a7b359,5,2,SYS,Core Hardware
8e2bc574-4411-427a-9ef9-c5b38882cb42,2,1,Cld&DataPltfrm,HyCldCrsBrand
6eb2af4a-3049-4772-b06d-7e45894cbc6a,1,0,SYS,Core Hardware
37966b9b-afa1-470d-80cb-a6a91b86ee0c,1,0,GTS,IS
e17d18ca-10d9-470b-abc2-9c5d71925c44,3,0,GTS,IS
a6342fdc-9ec3-44b2-81d2-9c1661227939,1,1,Cld&DataPltfrm,Data & AI
92a8f03c-4837-4e4e-8463-2b5f1ec76ae9,2,0,GLMKT,SMB
f9408bae-b724-4476-8b80-2374fecea7d2,1,1,Cognitive Apps,AI Apps
e518cecd-8eb6-4df1-a7fe-dec99d150c52,1,1,GTS,IS
c95a2188-65de-403e-83c0-589fc678c2af,1,1,Cld&DataPltfrm,Data & AI
15005992-f750-415f-8196-b3b7d2e5c808,47,0,GLMKT,Digital Sales
6f42cbcf-c4d9-475c-b195-9997adde69ba,1,0,GLMKT,ISU
e0001f0e-6f68-4ee6-a003-3dd3bdb3ae1c,1,1,Cld&DataPltfrm,CloudIntSW
0f3e38fa-642c-494d-bfa7-f766b5f26aa3,1,0,Cld&DataPltfrm,CloudIntSW
71f68820-3118-43f1-9c75-3bda0c79f014,9,2,Watson Health,Watson Health
ed6e1353-7ebf-4e11-a1c7-619d21ed5b8e,7,1,GBS,GBS
40aaede9-08da-4bb0-b4fe-7bbc0dea4504,1,0,GTS,IS
67e0e6e0-ba6d-4d38-8a0e-680bfef37d35,2380,49,GLMKT,GLMKT
a2d2a49e-e260-406f-960e-102cf98aca6d,26,0,GLMKT,SMB
836f5c92-1a47-423b-bca2-f9e78fec9f2c,1,0,GLMKT,SMB
442ebea2-cea3-4bac-b572-89dcd79ad8a5,4,1,GLMKT,Digital Sales
51e4c51e-8a39-4c31-beea-283fb7296acd,37,6,SYS,Core Hardware
6685c169-9a1b-4c89-ba55-872d950e0097,1,0,GLMKT,SMB
3ec24363-7e36-4654-8845-765f60e265ca,937,21,GLMKT,Digital Sales
765195dc-f79f-4186-88ed-6e1e1d33786a,1,0,GTS,IS
565984b7-4ca4-4508-b609-6c5de22bd2b5,8,5,SYS,Core Hardware
9859ca90-41a4-4da6-bea1-6c7bff0d57ee,33,5,GLMKT,SMB
ca129d72-1301-419c-a736-044e8f22262e,1,1,GTS,IS
35d8a6c1-e45a-4a22-a655-ac10ab45b2f2,1,1,GTS,IS
747f6ddd-4946-487a-bdf0-99dcab7e9b6f,1,1,GTS,IS
2789f38d-151c-41ec-a3ee-7039a843c8a1,7,1,GTS,TSS
b28b4b4c-59bd-4277-9b91-488ccbc82bc9,9,1,GTS,IS
22442366-509b-4fe5-a426-0891d9d9bdc7,1,1,GF,GF
8102faa4-1f94-4246-80f6-87e59bdccbd9,1,0,Security,Security
0b700caf-99a3-4773-b648-cd3dfa6371cb,3,0,SYS,Core Hardware
d62c7f99-d0c3-4c6b-b4c8-2a3b5ba6446f,5,1,GBS,GBS
10081e36-6db2-4cab-8ed6-5f335c413738,1,1,GTS,IS
0246b47a-ea2e-4a62-a396-4ecb6d1f8eb8,1,1,GTS,IS
af28c259-a1b7-46f5-a50d-55f6d7a8ccfc,1,1,GLMKT,Digital Sales
7784bb56-9b0d-4dcc-a49a-eb32b1d844b0,10,1,GTS,IS
7f4e329a-5417-4a3a-bab4-608b8cb988e1,8,0,SYS,Core Hardware
ce548eb9-ba7d-4387-981d-3a78b55742ac,1,1,Cld&DataPltfrm,CloudIntSW
1ad98cb7-f6c2-4bf5-a338-31f217940f36,1,0,GTS,IS
91c942ab-a373-4ce2-8db5-52381da2e3c2,1,0,GTS,IS
79f8e7b4-18aa-45c5-ba14-a345dff816f7,2,1,SYS,Core Hardware
012e526f-a228-42f7-b264-c728333a5987,6,0,SYS,Core Hardware
ad256f91-4380-4c51-900b-e3fa81c49fee,1,1,GLMKT,SMB
f507584d-c09d-4d7a-836d-a6bff9777d64,1,1,GLMKT,ISU
f0f18744-b760-4aa4-84bd-2aa0d34b2316,3,1,GBS,GBS
857820a2-322e-4ca4-aad7-90add3040b7b,38,4,GLMKT,SMB
8d34f84d-dbdb-49f8-aae2-5898a609aa52,3,3,Watson Health,Watson Health
afb14781-0733-4203-bd7a-b23b7cc7b238,4,2,GLMKT,GLMKT
c54b433e-655d-4375-84a1-61a685fec143,1,1,SYS,Core Hardware
7a2ece53-66c6-4b3f-a6e5-88fa2428086f,1,1,GTS,IS
891d9938-de7d-41c9-993c-2a8c9555d588,7,4,SYS,Core Hardware
e01b2e17-84cf-4f2c-8a8d-352a6f666f8b,1,1,SYS,Core Hardware
bda72d49-9461-4da9-8e89-a9b2643f31c6,7,4,GLMKT,SMB
cbc15e25-c48e-46e9-a56e-acc11490cc28,1,0,SYS,Core Hardware
b757d724-6cda-494f-be2e-a822b217cc56,1,1,SYS,Core Hardware
8c0a0190-4a4e-4b66-a0ac-9bed896e21f1,1,0,SYS,Core Hardware
ee715260-addd-42fc-888b-2976dc86050c,4,0,SYS,Core Hardware
de5ee968-57ab-4db9-a623-8cbfb65d2241,2,2,SYS,Core Hardware
ebdd63d3-9c21-4c50-9a33-fab163fdc217,4,0,Security,Security
64615722-1f28-40eb-a44a-d7a466d29b9b,4,1,SYS,Core Hardware
204caffc-f8e3-4e0c-b9fc-9fa2fd5aa0d9,2,2,Cognitive Apps,AI Apps
cb8696a4-b9ae-4553-8f6c-912145c36a14,1,0,GLMKT,SMB
9421f8d1-c2c3-4cf9-bd34-ce0103ad25d8,1,0,Security,Security
901be20f-6577-4fa8-bd09-676d66875151,1,0,GLMKT,SMB
d4b9e75c-ab3c-49c6-823c-7b61981667d4,1,1,SYS,Core Hardware
ba53f4ab-2251-42bf-916f-c745d2592055,2,1,GTS,IS
696dda09-8b43-4a8c-93c2-e82e2704b7d0,44,0,GLMKT,Digital Sales
b38098fb-d411-4675-b1eb-5c6f68a031d2,1,0,GTS,IS
cd85a047-a192-4258-ab61-74204880e746,1,0,SYS,Core Hardware
fd4f6824-a1f3-4646-882b-0c3d5eb9ae63,6,2,GLMKT,SMB
2d4c6afc-3637-49b0-81ff-b5dbda1a935c,7,2,SYS,Core Hardware
11e2f593-83e8-4aba-b24e-83f354114c43,1,0,GLMKT,SMB
b2a1a8ff-5566-4bf0-b567-927086884c64,1,1,GLMKT,SMB
86c918bd-1de7-4c8e-8e06-8875bffa541d,2,0,Cld&DataPltfrm,Data & AI
f9dfd7bf-0948-4d2f-b60b-3c5c60ed765a,1,1,GLMKT,SMB
92f09aac-c7c8-41fb-b1e4-3ddb2726f1b6,1,0,Cloud,Cloud Platform
7f8981ae-a5b7-4430-b035-b5b461a80562,6,0,GLMKT,SMB
d2dd5b75-9cc0-4d15-baf3-6cdd68b6265d,4,0,SYS,Core Hardware
96183197-2bc7-467f-8212-cee7ca3f6b2b,1,1,GTS,IS
aab561cd-f459-452c-85fa-018aa6488415,1,1,SYS,Core Hardware
f80b3552-59bc-4d2f-b709-78227a492d70,1,0,GTS,IS
d800ef66-3105-4067-9843-5d43cc383ae6,1,0,GTS,IS
27c95b4e-accb-458d-b4d2-fb6038cca435,2,0,GTS,IS
2ba474a3-7647-453c-a222-8026971f8dbc,1,0,SYS,Core Hardware
75795522-a6c8-45a0-8109-77a934ac25ad,76,0,GLMKT,Digital Sales
6829ad36-1872-4121-8bf1-f24ea7d5c9d9,1,1,Cld&DataPltfrm,Data & AI
ad8540b2-ea05-4b1c-8f2f-1a853e895137,1,0,GTS,IS
860b1cd4-6fd1-461a-b8e9-0bf8289e61a0,1,1,Cld&DataPltfrm,CloudIntSW
e35046f7-ff3c-4d2f-8fff-c6c250868998,578,6,GLMKT,Digital Sales
cc8d4130-f0aa-4a7b-93ba-6b5ca6be1b98,1,1,Cld&DataPltfrm,Data & AI
9e0a9ae1-2d91-41bf-9feb-2bb460d4774a,4,2,SYS,Core Hardware
5fb2ef51-d3e3-472d-ba6e-3bff3c4e2360,7,2,SYS,Core Hardware
3770152f-d860-4dd8-8ba8-3151526249bb,5,0,GLMKT,SMB
9bc2c9bd-a0e6-44b1-bac3-40b76df22f07,31,6,Watson Health,Watson Health
7fc866cd-15e3-4d09-8d3c-1ae38baa6f3e,1,1,Cld&DataPltfrm,Data & AI
7cbf1790-ee59-4b6c-8bf2-9dda7be0844e,15,8,Cld&DataPltfrm,CloudIntSW
0333c3ca-bb30-435d-bccd-6e407e7524d6,1,0,GLMKT,Digital Sales
c98362b3-bed3-4f4c-9ab9-a139dcd14b9c,1,0,Watson Health,Watson Health
9b3eddfa-9b4e-49ac-bb49-73dc0394c7cf,1,0,SYS,Core Hardware
035a66df-d3d3-44c8-bbef-dcc670f31983,2,1,GTS,IS
f60f9dbb-27d2-4803-8b63-c8ae3967de5e,3,1,Cloud,Cloud Platform
20015da9-9ad3-443c-9cc4-f63152013ab1,1,1,GLMKT,ISU
7ee63480-a755-4ad3-8b48-ed219e0b105d,2,1,SYS,Core Hardware
25ce303f-6f3b-4abf-a2f8-1cb784641b88,1,1,GTS,IS
bdcb08f0-c607-4c74-a78d-4a5c75111e61,1,0,Cld&DataPltfrm,Data & AI
020ce455-ea7c-4350-a520-78142768c0e7,3,0,GLMKT,Digital Sales
6d3ef075-77bb-48e8-8beb-fd4a3d1dee8e,1,0,GLMKT,Digital Sales
25c48db0-91df-41a3-85bb-bcf4f9b4054f,19,0,GLMKT,SMB
b9e83389-cddb-4eb6-88cb-8d249cf7e713,1,0,GTS,IS
a28f42a6-76b7-472e-bb9d-3bbd4f0fa969,3,2,SYS,Core Hardware
2ddf085c-91d3-4140-a99f-a80223f55629,1,0,SYS,Core Hardware
d578a759-6036-46a0-80ce-e7cae1165cc2,1,0,GTS,IS
e05b3c18-f253-4623-9a76-c9fd9c605121,1,1,SYS,Core Hardware
de5c36c5-f589-49cc-afa8-8d57091e1f6b,7,4,GLMKT,GLMKT
091cdb2c-21c2-477c-bdd7-90d4c4799bd1,4,1,SYS,Core Hardware
c2e0cdfd-d8af-4bc3-b31a-f4b3af79279c,1,1,Cld&DataPltfrm,HyCldCrsBrand
4dbba544-151b-4a14-8f2b-aa1969e48976,13,1,Cld&DataPltfrm,CloudIntSW
d32e39c8-9843-48fd-ab8a-c962d7c1da5f,1,0,GLMKT,SMB
af36f734-6e9d-483b-abac-a25f5289d095,7,2,SYS,Core Hardware
55d19613-17f8-450b-8d20-4e1ff0be444a,3,1,GLMKT,Digital Sales
9545769f-615d-4131-aaad-0c5422b8fef8,12,0,SYS,Core Hardware
ebda748b-d2c9-4a96-919b-bda172cc3bf9,73,15,Security,Security
06033fa3-1099-442e-83d5-3a55a97cff9b,1,1,SYS,Core Hardware
