DOC_ID,DOC_NAME,TOTAL_LIVESENDS,TOTAL_CLIENT_OPENS,OPEN_RATE,CONTENT_TYPE
216e15bb-f055-4159-9e24-a666bfef7621,Tape Portfolio Executive Overview Client Presentation_2019-Oct-01.pptx,1,0,0,Client Presentation
207589ed-c509-4c76-805b-7a64fdc44345,DS800 Safeguarded Copy One-Page Proposal_2019-Jul-29.docx,2,1,50,Solution/Product Overview
4fedaf9a-fce3-4c7e-bce8-8d1f8ed95514,Kubernetes Service - HA made simple with IKS and Multizone Clusters,1,0,0,How-to-Guide
4b83efd2-2305-45c4-932d-200df5b85866,Provider-IBM Health Forum Event Registration,4,1,25,Event
8658e2b7-57dc-49f3-aea1-9583c6d4395e,Bluewolf Sales Deck and Corporate Overview,1,0,0,Client Presentation
d78a0fc7-1a63-4956-9b23-58ebf9e577e7,Think Digital Summit Nordic invite - DK,3,2,66.67,Event
a1311fbb-9eec-46cf-823d-5486c9aeb703,Account Group Insights HP Solution Sheet,1,1,100,Solution Brief/Data Sheet
36782a56-ce30-42c8-a80c-6c16503f40d5,IBM Resilient SOAR Platform with RH Ansible - Solution Brief,1,1,100,Solution/Product Overview
156c3b15-6bbc-42d1-8fd7-b7f20fcf5834,Magic Quadrant for CRM and Customer Experience Implementation Services,3,1,33.33,Research Report
ab84db9b-bbc9-46fe-8371-c987d273ece2,Think Gov Virtual-Seller Invite,2,1,50,Event
6feca388-d44e-445c-9752-1606ae709999,Episode 1: Request Permission to Come Aboard,2,1,50,Event
8bd195ed-5f1c-462a-ad78-cb85f7f174c8,IBM DS8900F Quick Proposal BP Spanish Version_2019-Oct-21,2,1,50,RFP/Proposal
157e5dfe-1ede-4178-9297-006c026caaff,FlashSystem - Double Your Cache Promo_2020-Apr-20,13,4,30.77,Promotions/Incentives
f90ad0c4-80a2-4121-b403-965ebf383965,Your AI Readiness Guide for Contact Centers,1,0,0,Expert POV
c664ef66-3a1f-4ad1-8e92-63b33c5e5981,IBM Blockchain Food Trust Infographic,1,1,100,Solution/Product Overview
6ac79717-b9b6-433b-a507-44309539fa24,September 16th Webinar Client Invitation,7,3,42.86,Event
1dcb3159-7f4d-4aff-9070-3aa7eaaf812d,BAW  - Client Sales Presentation,1,0,0,Client Presentation
d7fb1583-c6ec-44fd-acc7-73145cd3ed60,Spectrum Protect plus : Demo Sandbox,2,0,0,Demo
4efaa7f9-1404-42b4-b3b1-c94561b79d10,Client success story: Loudoun Medical Group,1,1,100,Case Study
b7ca7189-37a3-4824-92bf-7cd3b72bf85d,BVA Tool - VMWare on IBM Cloud vs on-prem,4,1,25,Messaging/Competitive Positioning
61e2e37b-1cd8-426d-885b-d3d6cd1b3bd9,Federal Invite,2,0,0,Event
10d1e370-16a6-494d-9a9f-6468d9d82192,IBM Control Desk - What's New - Control Desk Presentation June 2019,4,2,50,Client Presentation
69ecfb3c-3cd6-4b71-ae39-db23fa5ed0c8,ESA Overview for Systems,1,0,0,How-to-Guide
e066c6ba-bc8e-408d-bebd-5ceb10b7fc6b,Registration form - Spectrum Protect Plus_2020-Apr-03,4,0,0,Trial
bd205cc8-abde-4c47-9a04-2c8a1a74ce7c,"Témoignage Client Bastide, Le Confort Médical",28,0,0,Use Case
daa4742c-74c8-4a38-93e8-ccc896852d2b,CISOM Webinar Client Invite,3,1,33.33,Event
7edcd7c0-7f00-4129-b26c-68d435897b2e,IDC Perspective: IBM iX North Star and Guiding Principle is Enterprise Experience,1,1,100,Research Report
460f2a56-3b4c-4264-af9e-4382dc92d2a9,Evidence Based Information Client References 4.16.20,1,1,100,Case Study
579a18fe-0b03-4d07-a3d5-b742562d3146,COVID-19 Client video - Cyber Resiliency_2020-Apr-06,1,1,100,Announcement
0626fb9e-bbed-47ad-b8f7-c84cd5f7b7c9,IBM Blockchain Food Trust Pamphlets,1,1,100,Solution/Product Overview
9e4f7b7d-b5a8-4cbf-be2b-5af4ad14e965,Decision Optimization - Industry PoV: Healthcare,1,1,100,Use Case
293e2038-c0d8-40c7-9c76-ed7fa0c4409b,IBM Health Forum-Invitation Email Script-LiveSend,2,2,100,Template
1e13322c-f77e-4a10-8ba8-47219f899d5a,Bluewolf Datasheet,2,0,0,Solution Brief/Data Sheet
a4649479-50c8-4be2-810f-b07bfc3cf9d4,IBM Health Forum_FINAL Agenda,2,1,50,Event
2e687e14-9075-42b2-8ee3-401694eedc5a,Video - Cloud Pak for Apps and UrbanCode Velocity,8,2,25,Demo
854bd2c7-0dbb-4f62-acd2-227fde8b098f,IBM Blockchain Food Trust Solution Brief,2,1,50,Solution Brief/Data Sheet
f6ee503b-3dcc-4a5a-86cc-4215843d093c,"Webinar Registration Link: Customer Experience Transformation with Adobe, IBM and Red Hat",3,1,33.33,Announcement
