CONTENT_TYPE,TOTAL_LIVESENDS,TOTAL_CLIENT_OPENS,OPEN RATE,,,,
<NULL>,1,1,100,,,,
FAQ,2,2,100,,,,
Code Patterns,3,3,100,,,,
Sales Kit,9,8,88.89,,23544,16.03%,
Pricing,9,6,66.67,,3774,,
Training/Course,23,13,56.52,,19770,,
Other,48,25,52.08,,,,
Sales Play,4,2,50,,,,
Client Story,6,3,50,,,,
RFP/Proposal,37,17,45.95,,,,
How-to-Guide,14,6,42.86,,,,
Reference Architecture,24,10,41.67,,,,
Demo,141,54,38.3,,,,
Roundup/Summary,6,2,33.33,,,,
Trial,12,4,33.33,,,,
Research Report,268,83,30.97,,,,
Client Presentation,1621,457,28.19,,,,
Template,99,26,26.26,,,,
ROI/Assessment/Calculator,4,1,25,,,,
Promotions/Incentives,62,15,24.19,,,,
News,146,34,23.29,,,,
Use Case,122,18,14.75,,,,
Case Study,590,80,13.56,,,,
Social Selling,24,3,12.5,,,,
Expert POV,499,61,12.22,,,,
Announcement,433,43,9.93,,,,
Event,12777,1100,8.61,,,,24.24%
Seller presentation/Enablement,566,32,5.65,,,,
Solution/Product Overview,1901,102,5.37,,,,
Solution Brief/Data Sheet,2794,145,5.19,,,,
Quick Reference Guide/Conversation Guidance,426,13,3.05,,,,
Messaging/Competitive Positioning,872,20,2.29,,,,
Client Reference,1,0,0,,,,
